HolderAddress,Balance
0xEc3E4b50d8E56eA56a29Bd18F96B2D2A5721556D,51976336.545549678853386274
0x1577eA23Ea723260983E311220936bc6325f1F69,51067514.464328810611137894
0x1b9c9E68099dA1e7b82c54617e11eA152a45b001,48921529.1824411309985924
0x2329665C902edB0337194e5d8776443d2e3eb14E,48108798.092089626731669628
0xbDBdE7383CD5C1eD606be607d425D3ED4d6a0514,47884458.117891327884677708
0xaA620FE6F559537c40916B00F2f241D9Ecc53684,47713373.262282216334548219
0xe7A2E114668BDCB92644A2664cc17b761fF9dCDB,46413963.629919937189143761
0x9f864C662cb2e91B8c5AEB4cc5a5722840Be92AE,46408117.15078842996262634
0x806439573231efdb6130769Ca67b419f9a4f4E91,44881788.273614403874721467
0xF77Af4FECD8448A0548C46Ee1726Ed047ab0f772,43446835.474849879308251501
0x53cf3b32f6012B30771bcd8182dbFA1e22296C42,43373090.165904056483687287
0x428c219930aFBeA4FD938B8934c3dD859E52Bdbe,43191052.376005692896815566
0x01b9F91370e5F236Be6dEa4238b3D5550D148F16,42799962.583264280031715953
0xa1eA96C202C3d8A421f50c699672aC6F89c69df5,41457975.511065907990096521
0xBd81e5b6E5f3F26e66dc4615Fab5CA3A0E4658f6,41372037.279613477181814937
0x2ea3815a2Fd2891d1B0A61DC8Dad3854B1510c32,38833599.743798954241474506
0x4ACb6C4321253548a7d4Bb9C84032Cc4eE04bFD7,38273497.781801419029320469
0xAb1E86372d8559cF4b1d0538552B88EF8Ed4E7ee,37975119.854699963702016116
0xfa71C8000CE627c30fDC50ae861F28fD692915A3,37525552.538613421880520818
0x04CE9d04cE8615B2FBa79A5c3c4cDF9A75aa1165,37188452.192487034922630862
0x55e732A77d0776D3B904E6C7CD2b8e303239EA66,36984853.09887432716997165
0xca10E41511A6fCE4ffC114B049FFc1f8105a9f94,36515163.382945001005960324
0xDdd66DCb122FE2934388CC915071d545bd0c3c41,35382978.511558773381666226
0x905acf0189f05042b171b342c2E58a4A9460aC95,35072640.327568562746343077
0x97366632d8A80aE890c6273C6C6655a160C7C488,33985963.031069677811334342
